JobName;StartTime;ReportReadyTime;UniqueJTCount;JTsToDownloadCount;JTDownloadErrorCount;JTDownloadCompleteTime;EndTime
AS_C117_FC_L;14.10.2024 11:49:32;14.10.2024 11:49:32;10651;0;-;14.10.2024 11:49:32;14.10.2024 11:49:32
AS_C117_FC_R;14.10.2024 11:49:32;14.10.2024 11:49:32;10565;0;-;14.10.2024 11:49:32;14.10.2024 11:49:32
AS_C117_FV_L;14.10.2024 11:49:32;14.10.2024 11:49:32;10753;0;-;14.10.2024 11:49:32;14.10.2024 11:49:32
AS_C117_FV_R;14.10.2024 11:49:32;14.10.2024 11:49:32;10668;0;-;14.10.2024 11:49:32;14.10.2024 11:49:32
AS_C117_FX_L;14.10.2024 11:49:32;14.10.2024 11:49:32;10506;0;-;14.10.2024 11:49:32;14.10.2024 11:49:32
AS_C117_FX_R;14.10.2024 11:49:32;14.10.2024 11:49:32;10438;0;-;14.10.2024 11:49:32;14.10.2024 11:49:32
AS_D6569_M29_L;14.10.2024 11:49:32;14.10.2024 11:49:32;5522;0;-;14.10.2024 11:49:32;14.10.2024 11:49:32
AS_D6569_M29_R;14.10.2024 11:49:32;14.10.2024 11:49:32;5616;0;-;14.10.2024 11:49:32;14.10.2024 11:49:32
AS_D78908_BT1_L;14.10.2024 11:49:32;14.10.2024 11:49:32;359;0;-;14.10.2024 11:49:32;14.10.2024 11:49:32
AS_D78908_BT1_R;14.10.2024 11:49:32;14.10.2024 11:49:32;359;0;-;14.10.2024 11:49:32;14.10.2024 11:49:32
AS_D78908_BT2_L;14.10.2024 11:49:32;14.10.2024 11:49:32;672;0;-;14.10.2024 11:49:32;14.10.2024 11:49:32
AS_D78908_BT2_R;14.10.2024 11:49:32;14.10.2024 11:49:32;672;0;-;14.10.2024 11:49:32;14.10.2024 11:49:32
AS_D78908_BT3_L;14.10.2024 11:49:32;14.10.2024 11:49:32;-;-;-;14.10.2024 11:49:32;14.10.2024 11:49:32
AS_D78908_BT3_R;14.10.2024 11:49:32;14.10.2024 11:49:32;-;-;-;14.10.2024 11:49:32;14.10.2024 11:49:32
